time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
5900,2019-04-14 08:07:46,32.0121301534373,35.4372574357756,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-717.50863450883,0,0,15,5,0,0,0,0,0,0,0,0,178.3, 0.1, -3.8,0,0,364,364,364,1684,0,0,99,4.292,4.293,4.293,0,0,0,0,103.82,-717.50863450883,0,41,Motors_Started,
6000,2019-04-14 08:07:46,32.0121301486562,35.4372574818486,0,,,-717.50863450883,0,0.0143598757876,15,5,0,0,0,0,0.0143598757876,0,0,0,178.3, 0.1, -3.8,0,0,364,364,364,1684,0,0,99,4.292,4.293,4.293,0,0,0,0,103.82,-717.50863450883,0,41,Motors_Started,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 22. Setting new Maximum Flight Altitude to 500m (1640 ft)
6100,2019-04-14 08:07:46,32.0121301541994,35.4372575135945,0,,,-717.50863450883,0,0.0240763459148,15,5,0,0,0,0,0.0240763459148,0,0,0,178.3, 0.1, -3.8,0,0,985,907,850,1473,0,0,99,4.292,4.293,4.293,0,0,0,0,103.82,-717.50863450883,0,41,Motors_Started,
6200,2019-04-14 08:07:46,32.0121301562577,35.4372575292755,0,,,-717.50863450883,0,0.0289442594564,15,5,12.907,0,0,0,0.0289442594564,0,0,0,178.3, 0.1, -3.8,0,0,1024,1024,1024,1024,180.9,0,99,4.292,4.293,4.293,0,0,0,1.274,103.82,-717.50863450883,0,41,Motors_Started,
6300,2019-04-14 08:07:46,32.0121301913996,35.4372575428549,0,,,-717.50863450883,0,0.035905841044,15,5,12.907,0,0,0,0.035905841044,0,0,0,178.3, 0, 
